Left Pressure (N),Right Pressure (N),Trial,Stimuli,Experiment Time Clock (Micro Sec)
0.00,0.00,No_signal,Low_BOI,1132
0.00,0.00,No_signal,Low_BOI,2396
0.00,0.00,No_signal,Low_BOI,32736
0.00,0.00,No_signal,Low_BOI,69136
0.00,0.00,No_signal,Low_BOI,105536
0.00,0.00,No_signal,-1,137776
0.00,0.00,No_signal,-1,170016
0.00,0.00,No_signal,-1,202256
0.00,0.00,No_signal,-1,234496
0.00,0.00,No_signal,-1,266736
0.00,0.00,No_signal,-1,298976
0.00,0.00,No_signal,-1,331216
0.00,0.00,No_signal,-1,363456
0.00,0.00,No_signal,-1,395696
0.00,0.00,No_signal,-1,427936
0.00,0.00,No_signal,-1,460176
0.00,0.00,No_signal,-1,492416
0.00,0.00,No_signal,-1,524656
0.00,0.00,No_signal,-1,556896
0.00,0.00,No_signal,-1,589136
0.00,0.00,No_signal,-1,621376
0.00,0.00,No_signal,-1,653616
0.00,0.00,No_signal,-1,685856
0.00,0.00,No_signal,-1,718096
0.00,0.00,No_signal,-1,750336
0.00,0.00,No_signal,-1,782576
0.00,0.00,No_signal,-1,814816
0.00,0.00,No_signal,-1,847056
0.00,0.00,No_signal,-1,879296
0.00,0.00,No_signal,-1,911536
0.00,0.00,No_signal,-1,943776
0.00,0.00,No_signal,-1,976016
0.00,0.00,No_signal,-1,1008256
0.00,0.00,No_signal,-1,1041536
0.00,0.00,No_signal,-1,1074816
0.00,0.00,No_signal,-1,1108096
0.00,0.00,No_signal,-1,1141376
0.00,0.00,No_signal,-1,1174656
0.00,0.00,No_signal,-1,1207936
0.00,0.00,No_signal,-1,1241216
0.00,0.00,No_signal,-1,1274496
0.00,0.00,No_signal,-1,1307776
0.00,0.00,No_signal,-1,1341056
0.00,0.00,No_signal,-1,1374336
0.00,0.00,No_signal,-1,1407616
0.00,0.00,No_signal,-1,1440896
0.00,0.00,No_signal,-1,1474176
0.00,0.00,No_signal,-1,1507456
0.00,0.00,No_signal,-1,1540736
0.00,0.00,No_signal,-1,1574016
0.00,0.00,No_signal,-1,1607296
0.00,0.00,No_signal,-1,1640576
0.00,0.00,No_signal,-1,1673856
0.00,0.00,No_signal,-1,1707136
0.00,0.00,No_signal,-1,1740416
0.00,0.00,No_signal,-1,1773696
0.00,0.00,No_signal,-1,1806976
0.00,0.00,No_signal,-1,1840256
0.00,0.00,No_signal,-1,1873536
0.00,0.00,No_signal,-1,1906816
0.00,0.00,No_signal,-1,1940096
0.00,0.00,No_signal,-1,1973376
0.00,0.00,No_signal,-1,2006656
0.00,0.00,No_signal,-1,2039936
0.00,0.00,No_signal,-1,2073216
0.00,0.00,No_signal,-1,2106496
0.00,0.00,No_signal,-1,2139776
0.00,0.00,No_signal,-1,2173056
0.00,0.00,No_signal,-1,2206336
0.00,0.00,No_signal,-1,2239616
0.00,0.00,No_signal,-1,2272896
0.00,0.00,No_signal,-1,2306176
0.00,0.00,No_signal,-1,2339456
0.00,0.00,No_signal,-1,2372736
0.00,0.00,No_signal,-1,2406016
0.00,0.00,No_signal,-1,2439296
0.00,0.00,No_signal,-1,2472576
0.00,0.00,No_signal,-1,2505856
0.00,0.00,No_signal,-1,2539136
0.00,0.00,No_signal,-1,2572416
0.00,0.00,No_signal,-1,2605696
0.00,0.00,No_signal,-1,2638976
0.00,0.00,No_signal,-1,2672256
0.00,0.00,No_signal,-1,2705536
0.00,0.00,No_signal,-1,2738816
0.00,0.00,No_signal,-1,2772096
0.00,0.00,No_signal,-1,2805376
0.00,0.00,No_signal,-1,2838656
0.00,0.00,No_signal,-1,2871936
0.00,0.00,No_signal,-1,2905216
0.00,0.00,No_signal,-1,2938496
0.00,0.00,No_signal,-1,2971776
0.00,0.00,No_signal,-1,3005056
0.00,0.00,No_signal,-1,3038336
0.00,0.00,No_signal,-1,3071616
0.00,0.00,No_signal,-1,3104896
0.00,0.00,No_signal,-1,3138176
0.00,0.00,No_signal,-1,3171456
0.00,0.00,No_signal,-1,3204736
0.00,0.00,No_signal,-1,3238016
0.00,0.00,No_signal,-1,3271296
0.00,0.00,No_signal,-1,3304576
0.00,0.00,No_signal,-1,3337856
0.00,0.00,No_signal,-1,3371136
0.00,0.00,No_signal,-1,3404416
0.00,0.00,No_signal,-1,3437696
0.00,0.00,No_signal,-1,3470976
0.00,0.00,Stimulus,Abstract,3509456
0.00,0.00,Stimulus,Abstract,3547936
0.00,0.00,Stimulus,Abstract,3586416
0.00,0.00,Stimulus,Abstract,3624896
0.00,0.00,Stimulus,Abstract,3663376
0.00,0.00,Stimulus,Abstract,3701856
0.00,0.00,Stimulus,Abstract,3740336
0.00,0.00,Stimulus,Abstract,3778816
0.00,0.00,Stimulus,Abstract,3817296
0.00,0.00,Stimulus,Abstract,3855776
0.00,0.00,Stimulus,Abstract,3894256
0.00,0.00,Stimulus,Abstract,3932736
0.00,0.00,Stimulus,Abstract,3971216
0.00,0.00,ITI,-1,3998256
0.00,0.00,ITI,-1,4025296
0.00,0.00,ITI,-1,4052336
0.00,0.00,ITI,-1,4079376
0.00,0.00,ITI,-1,4106416
0.00,0.00,ITI,-1,4133456
0.00,0.00,ITI,-1,4160496
0.00,0.00,ITI,-1,4187536
0.00,0.00,ITI,-1,4214584
0.00,0.00,ITI,-1,4241616
0.00,0.00,ITI,-1,4268656
0.00,0.00,ITI,-1,4295696
0.00,0.00,ITI,-1,4322736
0.00,0.00,ITI,-1,4349776
0.00,0.00,ITI,-1,4376816
0.00,0.00,ITI,-1,4403856
0.00,0.00,ITI,-1,4430896
0.00,0.00,ITI,-1,4457936
0.00,0.00,ITI,-1,4484976
0.00,0.00,ITI,-1,4512016
0.00,0.00,ITI,-1,4539056
0.00,0.00,ITI,-1,4566096
0.00,0.00,ITI,-1,4593136
0.00,0.00,ITI,-1,4620176
0.00,0.00,ITI,-1,4647216
0.00,0.00,ITI,-1,4674256
0.00,0.00,ITI,-1,4701296
0.00,0.00,ITI,-1,4728336
0.00,0.00,ITI,-1,4755376
0.00,0.00,ITI,-1,4782416
0.00,0.00,ITI,-1,4809456
0.00,0.00,ITI,-1,4836496
0.00,0.00,ITI,-1,4863536
0.00,0.00,ITI,-1,4890576
0.00,0.00,ITI,-1,4917616
0.00,0.00,ITI,-1,4944656
0.00,33.22,ITI,-1,4972736
0.00,83.67,ITI,-1,5000816
0.00,111.45,ITI,-1,5029936
0.00,117.25,ITI,-1,5059056
0.00,112.50,ITI,-1,5088176
0.00,93.87,ITI,-1,5116256
0.00,33.57,ITI,-1,5144336
0.00,0.00,ITI,-1,5171376
0.00,0.00,ITI,-1,5198416
0.00,0.00,ITI,-1,5225456
0.00,0.00,ITI,-1,5252496
0.00,0.00,ITI,-1,5279544
0.00,0.00,ITI,-1,5306576
0.00,0.00,ITI,-1,5333616
0.00,0.00,ITI,-1,5360656
0.00,0.00,ITI,-1,5387696
0.00,0.00,ITI,-1,5414736
0.00,0.00,ITI,-1,5441776
0.00,0.00,ITI,-1,5468816
0.00,0.00,ITI,-1,5495856
0.00,0.00,ITI,-1,5522896
0.00,0.00,ITI,-1,5549936
0.00,0.00,ITI,-1,5576976
0.00,0.00,ITI,-1,5604016
0.00,0.00,ITI,-1,5631056
0.00,0.00,ITI,-1,5658096
0.00,0.00,ITI,-1,5685136
0.00,0.00,ITI,-1,5712176
0.00,0.00,ITI,-1,5739216
0.00,0.00,ITI,-1,5766256
0.00,0.00,ITI,-1,5793296
0.00,0.00,ITI,-1,5820336
0.00,0.00,ITI,-1,5847376
0.00,0.00,ITI,-1,5874416
0.00,0.00,ITI,-1,5901456
0.00,0.00,ITI,-1,5928496
0.00,0.00,ITI,-1,5955536
0.00,0.00,ITI,-1,5982576
0.00,0.00,ITI,-1,6009616
0.00,0.00,ITI,-1,6036656
0.00,0.00,ITI,-1,6063696
0.00,0.00,ITI,-1,6090736
0.00,0.00,ITI,-1,6117776
0.00,0.00,ITI,-1,6144824
0.00,0.00,ITI,-1,6171856
0.00,0.00,ITI,-1,6198896
0.00,0.00,ITI,-1,6225936
0.00,0.00,ITI,-1,6252976
0.00,0.00,ITI,-1,6280016
0.00,0.00,ITI,-1,6307056
0.00,0.00,ITI,-1,6334096
0.00,0.00,ITI,-1,6361136
0.00,0.00,ITI,-1,6388176
0.00,3.69,ITI,-1,6415216
0.00,48.87,ITI,-1,6443296
0.00,81.21,ITI,-1,6471376
0.00,100.20,ITI,-1,6500496
0.00,115.14,ITI,-1,6529616
0.00,122.17,ITI,-1,6558736
0.00,128.67,ITI,-1,6587856
0.00,129.20,ITI,-1,6616976
0.00,115.66,ITI,-1,6646096
0.00,57.48,ITI,-1,6674176
0.00,8.26,ITI,-1,6701216
0.00,0.00,ITI,-1,6728256
0.00,0.00,ITI,-1,6755296
0.00,0.00,ITI,-1,6782336
0.00,0.00,ITI,-1,6809376
0.00,0.00,ITI,-1,6836416
0.00,0.00,ITI,-1,6863456
0.00,0.00,ITI,-1,6890496
0.00,0.00,ITI,-1,6917536
0.00,0.00,ITI,-1,6944576
0.00,0.00,ITI,-1,6971616
0.00,0.00,ITI,-1,6998656
0.00,0.00,ITI,-1,7025696
0.00,0.00,ITI,-1,7052736
0.00,0.00,ITI,-1,7079776
0.00,0.00,ITI,-1,7106816
0.00,0.00,ITI,-1,7133856
0.00,0.00,ITI,-1,7160896
0.00,0.00,No_signal,-1,7194176
0.00,0.00,No_signal,Abstract,7233696
0.00,0.00,Stimulus,Abstract,7272176
0.00,0.00,Stimulus,Abstract,7310656
0.00,0.00,Stimulus,Abstract,7349136
0.00,0.00,Stimulus,Abstract,7387616
0.00,0.00,Stimulus,Abstract,7426096
0.00,0.00,Stimulus,Abstract,7464576
0.00,0.00,Stimulus,Abstract,7503056
